# id_vlba RUNNING_ID_name     bmaj    bmin    bpa      ra_peak      dec_peak   ra_peak_err dec_peak_err p_spur     rms_image   peak_flux   peak_dflux  snr_peak tot_flux    tot_dflux   snr_tot  FLUX_VLBA   L_VLBA      L_VLBA_1sigma sep_arcsec ID_COSMOS RA_counterpart DEC_counterpart cat_ctp    zbest      zphot  zspec   zspec_ref Mstar    SNR_IR   SFR_IR         eSFR_IR        vla_slope   f1p4ghz_peak_final f1p4ghz_final df1p4ghz_final f3ghz_peak  f3ghz     df3ghz   f1p4ghz      df1p4ghz    f1p3ghz     df1p3ghz   f600mhz     df600mhz  f300mhz     df300mhz   LIR_SD      Lradio_1p4ghz q_IR        q_IR_z0p5   flux_ratio_vlba_vla delta_q_IR q_IR_corr   q_IR_z0p5_corr flag_A3COSMOS LIR_A3COSMOS id_cluster flag_cluster dist_center_arcmin dist_real_center_arcmin xray_det id_chandra Lx_2_10 
  10      VLBA_COSMOS_NEP0010 20.9712 8.2855  166.719  150.12298525 2.01222333 4.4E-7      1.02E-6      0.76976377 3.461579E-5 3.28E-5     3.39E-6     4.601695 3.28E-5     3.39E-6     4.478403 3.28E-5     22.77088547 22.79428673   0.09757359 78694     150.12300411   2.01224281      cosmos_web 0.6761     0.6074 0.6761  56        10.94237 6.04892  26.32392789    4.35183864     -0.80000001 1.206975E-5        3.28E-5       3.39E-6        6.56E-6     6.56E-6   2.96E-6  4.495523E-5  1.807165E-5 3.28026E-5  3.39038E-6 1.676E-5    3.7948E-5 7.328E-5    9.4723E-5  11.42035069 22.77088631   2.65965058  2.7212103   1.0                 0.0        2.65965058  2.7212103      false         -99.0        -99.       none         12.36133           22.99161                false    N/A        -99.0   
  11      VLBA_COSMOS_NEP0011 21.8515 7.1823  164.9211 150.17644555 2.0138925  4.4E-7      1.08E-6      0.85691959 1.159428E-5 6.376854E-5 3.052737E-5 4.391723 6.376854E-5 2.960322E-5 4.25029  6.376854E-5 22.83369637 22.0933342    0.28500234 121257    150.17643743   2.01397125      vla3       0.572      0.57   0.572   25        9.6982   13.15677 49.79455895    3.78471516     -0.52052629 7.329034E-5        1.3336E-4     8.57E-6        4.928969E-5 8.56E-5   4.9E-6   1.553966E-4  1.729538E-5 1.33359E-4  8.56979E-6 1.9081E-4   3.8372E-5 4.0221E-4   3.66805E-4 11.69718189 23.15411627   2.55325181  2.57804703  0.47816842          0.28246964 2.55325181  2.57804703     false         -99.0        -99.       none         12.2341            21.205697               false    N/A        -99.0   
  12      VLBA_COSMOS_NEP0012 20.8676 8.4573  166.9862 150.11516188 2.017605   4.4E-7      1.01E-6      0.60408348 1.20522E-5  6.62871E-5  4.221523E-5 4.813525 6.62871E-5  3.989148E-5 4.813426 6.62871E-5  24.15262222 23.41226006   0.39660514 78986     150.11526076   2.01765371      vla3       1.63820004 1.6382 -99.0   -99       10.84283 31.46629 687.79960037   87.78994899    -1.19744973 1.686462E-4        1.2778E-4     1.343E-5       6.770625E-5 6.77E-5   4.3E-6   1.686306E-4  1.60132E-5  1.27779E-4  1.34266E-5 1.2193E-4   3.7812E-5 3.7788E-4   1.04658E-4 12.83746192 24.4376563    2.40999181  2.70746854  0.51875957          0.31763789 2.40999181  2.70746854     true          12.810002    -99.       none         12.11326           23.00311                false    N/A        -99.0   
  13      VLBA_COSMOS_NEP0013 21.7341 7.2704  164.9582 150.17165474 2.02132028 4.1E-7      1.01E-6      0.24725947 2.42009E-5  3.056E-5    4.71E-6     5.32828  3.056E-5    4.71E-6     4.443933 3.056E-5    23.74334335 23.64202118   0.24291932 122054    150.17158725   2.02131842      cosmos_web 1.88269997 1.8827 -99.0   -99       9.76248  8.65877  226.99791648   89.24918082    -0.69910281 2.870769E-5        3.056E-5      4.71E-6        1.685E-5    1.685E-5  3.063E-6 3.786843E-5  1.600838E-5 3.05637E-5  4.71284E-6 3.787E-5    3.7911E-5 3.76E-5     1.29474E-4 12.35602187 23.74334354   2.62286453  3.00094631  1.0                 0.0        2.62286453  3.00094631     false         -99.0        -99.       none         11.76256           20.961033               false    N/A        -99.0   
  14      VLBA_COSMOS_NEP0014 20.4802 9.8721  170.6835 150.04229688 2.02112167 4.7E-7      1.02E-6      0.67500561 6.21429E-5  3.326E-5    4.45E-6     4.733171 3.326E-5    4.45E-6     4.698566 3.326E-5    23.36079025 23.63225937   0.33582571 295652    150.04238447   2.02115391      cosmos_web 1.0618     1.0618 -99.0   -99       10.50311 12.42726 59.52161196    4.78959786     -1.1793655  2.992329E-5        3.326E-5      4.45E-6        1.218E-5    1.218E-5  2.812E-6 3.11649E-5   1.617672E-5 3.32589E-5  4.4453E-6  4.568E-5    3.566E-5  3.61092E-10 6.9019E-5  11.77467468 23.36078993   2.42407095  2.58835626  1.0                 0.0        2.42407095  2.58835626     false         -99.0        -99.       none         13.40847           25.710849               false    N/A        -99.0   
  15      VLBA_COSMOS_NEP0015 23.2964 6.2576  163.8738 150.2342408  2.02272167 3.6E-7      9.6E-7       0.83756703 1.117801E-5 6.147905E-5 2.132643E-5 4.436821 6.147905E-5 2.085642E-5 4.436821 6.147905E-5 23.6069088  22.86654663   0.3778285  125452    150.23431312   2.02264557      vla3       1.194      2.1441 1.194   25        11.24997 16.94547 30.35930953    1.79158883     -0.73496723 2.774561E-4        3.3854E-4     5.448E-5       1.58462E-4  1.84E-4   9.5E-6   3.221714E-4  1.784619E-5 -99.0       1.0E7      5.0449E-4   3.9244E-5 0.00119309  1.20674E-4 11.48229189 24.34779134   1.14468675  1.23802382  0.18160057          0.08703468 1.14468675  1.23802382     false         -99.0        -99.       none         12.64182           19.298818               false    N/A        -99.0   
  16      VLBA_COSMOS_NEP0016 21.5461 7.4752  165.2027 150.16164617 2.02412944 3.6E-7      9.1E-7       0.40914404 2.53965E-5  2.817E-5    8.85E-6     5.09735  2.817E-5    8.85E-6     5.09735  2.817E-5    23.14246941 23.09745598   0.37557533 122275    150.16154282   2.02414418      vla3       0.959      0.9609 0.959   25        10.79674 10.2738  118.19303643   11.50431018    -1.06688175 3.010594E-5        2.817E-5      8.85E-6        1.335124E-5 1.34E-5   2.3E-6   3.248437E-5  1.637787E-5 3.32473E-5  6.80399E-6 8.807E-5    3.7922E-5 2.2703E-4   1.03535E-4 12.07259189 23.14246874   2.94030935  3.10665513  1.0                 0.0        2.94030935  3.10665513     false         -99.0        -99.       none         11.54552           21.12149                false    N/A        -99.0   
  17      VLBA_COSMOS_NEP0017 24.2877 5.9555  163.6213 150.26400051 2.02750194 3.6E-7      9.7E-7       0.87509823 1.632653E-5 3.251E-5    5.32E-6     4.350212 3.251E-5    5.32E-6     4.350212 3.251E-5    23.81482506 23.5157032    0.35682462 127839    150.26404368   2.02741271      cosmos_web 1.64429998 1.6443 -99.0   -99       10.85189 6.94876  233.79858564   94.63942748    -1.12035331 2.940585E-5        3.251E-5      5.32E-6        1.252E-5    1.252E-5  2.875E-6 3.357782E-5  1.573096E-5 3.25114E-5  5.31992E-6 4.164E-5    4.0516E-5 6.7E-6      1.24579E-4 12.36884188 23.81482596   2.56420212  2.88208549  1.0                 0.0        2.56420212  2.88208549     false         -99.0        -99.       none         13.1955            18.479128               false    N/A        -99.0   
  18      VLBA_COSMOS_NEP0018 20.4959 9.9553  170.7292 150.04014829 2.02862417 5.2E-7      1.09E-6      0.95392197 5.958675E-5 3.609E-5    6.81E-6     4.182013 3.609E-5    6.81E-6     4.143098 3.609E-5    24.07814789 24.29591179   0.30655104 296525    150.04021305   2.02856883      vla3       2.45140004 2.4514 -99.0   -99       10.68768 12.37072 220.29868658   77.72953658    -0.71069522 3.390641E-5        3.609E-5      6.81E-6        1.972634E-5 1.97E-5   2.5E-6   3.377528E-5  1.791317E-5 3.60878E-5  6.81202E-6 6.219E-5    3.6442E-5 8.613E-5    6.9692E-5  12.34301191 24.07814822   2.27504988  2.70142082  1.0                 0.0        2.27504988  2.70142082     true          12.260002    -99.       none         13.08913           25.492467               false    N/A        -99.0   
  19      VLBA_COSMOS_NEP0019 21.5211 7.5     165.2143 150.16030862 2.02626306 4.0E-7      9.8E-7       0.71917468 1.153154E-5 6.342347E-5 2.907489E-5 4.682062 6.342347E-5 3.007278E-5 4.682062 6.342347E-5 22.94491196 22.20454788   0.20822287 122273    150.16027256   2.0263083       vla3       0.6056     0.6015 0.6056  56        10.59972 22.92914 42.99043999    19.34019794    -0.80195344 3.668869E-5        7.365E-5      3.16E-6        1.991091E-5 3.72E-5   3.0E-6   7.122147E-5  1.617123E-5 7.36537E-5  3.15845E-6 3.472E-5    3.8951E-5 3.7831E-4   1.16028E-4 11.63337189 23.00983379   2.63372429  2.67091959  0.86114688          0.85744436 2.63372429  2.67091959     false         -99.0        -99.       none         11.41231           21.050715               false    N/A        -99.0   
